Nombre Municipio Loc,Total Unidades
Acatlán,5
Acaxochitlán,11
Actopan,12
Agua Blanca de Iturbide,4
Ajacuba,3
Alfajayucan,6
Almoloya,1
Apan,6
Atitalaquia,7
Atlapexco,8
Atotonilco de Tula,5
Atotonilco el Grande,7
Calnali,5
Cardonal,17
Chapantongo,4
Chapulhuacán,8
Chilcuautla,7
Cuautepec de Hinojosa,11
El Arenal,5
Eloxochitlán,4
Emiliano Zapata,4
Epazoyucan,6
Francisco I. Madero,5
Huasca de Ocampo,1
Huautla,9
Huazalingo,5
Huehuetla,8
Huejutla de Reyes,19
Huichapan,8
Ixmiquilpan,22
Jacala de Ledezma,4
Jaltocán,1
Juárez Hidalgo,2
La Misión,4
Lolotla,4
Metepec,1
Metztitlán,11
Mineral de la Reforma,9
Mineral del Chico,5
Mixquiahuala de Juárez,8
Molango de Escamilla,5
Nicolás Flores,5
Nopala de Villagrán,6
Omitlán de Juárez,2
Pachuca de Soto,14
Pacula,3
Pisaflores,5
Progreso de Obregón,1
San Agustín Metzquititlán,1
San Agustín Tlaxiaca,6
San Bartolo Tutotepec,7
San Felipe Orizatlán,6
San Salvador,11
Santiago Tulantepec de Lugo Guerrero,1
Santiago de Anaya,7
Singuilucan,3
Tasquillo,4
Tecozautla,12
Tenango de Doria,4
Tepeapulco,5
Tepehuacán de Guerrero,17
Tepeji del Río de Ocampo,6
Tepetitlán,5
Tetepango,2
Tezontepec de Aldama,12
Tianguistengo,6
Tizayuca,5
Tlahuelilpan,3
Tlahuiltepa,4
Tlanalapa,2
Tlanchinol,15
Tlaxcoapan,3
Tolcayuca,2
Tula de Allende,17
Tulancingo de Bravo,6
Villa de Tezontepec,2
Xochiatipan,7
Xochicoatlán,2
Yahualica,8
Zacualtipán de Ángeles,4
Zapotlán de Juárez,3
Zempoala,3
Zimapán,8
